NAME,HETNAME,SELECTED,RA,DEC,DDIST,DISTERR,MBH,DMBH,UPPERLIMIT,SIG,DSIG,LK,DLK,R50,DR50,LKOR,DLKOR,C28,DC28,LAGN,DLAGN,CR50LK,CR50C28,CLKC28,CLKORC28,TYPE,REF,HETMGSSIG,HETMGSDSIG,Z,DZ,SCALE
NGC3245,NGC3245,1,156.8265228,28.50743484,21.37999916,1.972000003,8.378000259,0.114,0,2.247999907,0.021199999,10.85968971,0.085206598,0.386236101,0.053043298,10.47345829,0.048555899,5.463761806,0.264197707,9.261610985,0.145773903,0.003858,0.0017386,-0.001274,-0.0030126,gas,barth01,205.6999969,4.199999809,0.00442,0.00002,0.092
NGC3368,NGC3368,1,161.6905975,11.81993961,10.39999962,0.958999991,6.875,0.075999998,0,2.083699942,0.092399999,10.95322418,0.072351404,0.488596112,0.0578213,10.46463013,0.0461464,5.666915417,0.358509392,-10.65448284,1.00E-06,0.0032243,0.015798699,0.0055305,-0.0102682,star,nowak10,124.6999969,4.300000191,0.00296,0,0.062
NGC3377,NGC3377,1,161.9266663,13.98563957,10.98999977,0.456,8.25,0.252999991,0,2.10800004,0.021199999,10.51800537,0.064553201,0.361274004,0.111524001,10.15673161,0.060207501,5.888342857,0.424720407,-10.60722542,4.80E-06,0.0064899,0.042426601,0.019722501,-0.0227041,star,schulze11,150.3999939,4,0.00222,0.00001,0.046
NGC3379,NGC3379,1,161.956665,12.58162975,10.69999981,0.541999996,8.619000435,0.112999998,0,2.269000053,0.021199999,11.01171398,0.064776704,0.480746508,0.094650798,10.53096962,0.046617098,6.344940186,0.520038128,-10.62964249,1.15E-05,0.0054908,0.046483301,0.025956299,-0.020527,star,vdb10,222.3999939,3.099999905,0.00304,0.00001,0.063
NGC3384,NGC3384,1,162.0704041,12.62930012,11.48999977,0.740999997,7.032999992,0.214000002,0,2.140000105,0.021199999,10.85286331,0.088164702,0.492290705,0.209277898,10.36057663,0.137402907,7.107660294,0.694328129,-10.56786728,9.60E-06,0.0163454,0.125216901,0.044562999,-0.080654003,star,schulze11,-1234,-1234,0.00235,0.00001,0.049
NGC3393,NGC3393,1,162.0977783,-25.16202927,49.20000076,8.194000244,7.196000099,0.330000013,0,2.170000076,0.030099999,11.15442181,0.151081994,0.782320082,0.109006099,10.37210178,0.087627597,5.820449352,0.420490503,9.515089989,0.1355194,0.0135148,0.0248501,0.020381199,-0.0044689,maser,kondratko08,-1234,-1234,0.01251,0.00002,0.257
NGC3489,NGC3489,1,165.0774536,13.90125847,12.10000038,0.837000012,6.777999878,0.050999999,0,2.005000114,0.021199999,10.60298252,0.065883398,0.181800902,0.083882101,10.42118454,0.0586509,5.900220871,0.53291291,9.145332336,0.048595302,0.0039685,0.038972199,0.0129388,-0.026033301,star,nowak10,105.1999969,5.599999905,0.00226,0.00001,0.047
NGC3585,NGC3585,1,168.3212891,-26.75498962,20.51000023,1.702000022,8.517000198,0.127000004,0,2.327899933,0.020400001,11.4181776,0.066855699,0.803373873,0.065896399,10.6147995,0.040339701,5.745500088,0.277737498,-10.06639099,1.44E-05,0.0035924,0.0135384,0.0076234,-0.005915,star,gultekin09,-1234,-1234,0.00478,0.00004,0.099
NGC3607,NGC3607,1,169.2277374,18.05180931,22.64999962,1.774999976,8.137000084,0.157000005,0,2.315000057,0.021199999,11.34779549,0.072704203,0.602242112,0.085374899,10.74555397,0.052487701,5.766411304,0.492970914,-9.976122856,5.80E-06,0.0049099,0.038333401,0.019633099,-0.0187004,star,gultekin09,226.3000031,3.700000048,0.0031,0.00001,0.064
NGC3608,NGC3608,1,169.245697,18.14853096,22.75,1.468000054,8.666999817,0.097999997,0,2.227999926,0.021199999,10.92172718,0.065325797,0.466283113,0.059503101,10.4554472,0.037177298,5.537170887,0.260917097,-9.972286224,1.05E-05,0.003213,0.0119325,0.0079596,-0.0039729,star,schulze11,197.6000061,3.299999952,0.00418,0.00002,0.087
NGC3842,NGC3842,1,176.0090485,19.94981956,92.19999695,10.63799953,9.958999634,0.138999999,0,2.43930006,0.022500001,11.8088026,0.107780598,1.114012003,0.065485299,10.69479084,0.057679299,5.383582592,0.238292396,-8.74614048,6.70E-06,0.006289,0.0061363,0.0023013,-0.003835,star,mcconnell11a,295.2000122,9.300000191,0.02079,0.00001,0.423
NGC3998,NGC3998,1,179.4840393,55.45356369,14.30000019,1.253000021,8.927000046,0.052000001,0,2.349999905,0.021199999,10.70891762,0.070835702,0.107486002,0.064359501,10.60143089,0.052018002,5.64464426,0.308520198,9.147119522,0.273685485,0.003227,0.0066329,0.0022483,-0.0043845,star,walsh12,322.6000061,3.400000095,0.0035,0.00002,0.073
NGC4026,NGC4026,1,179.85495,50.961689,13.35000038,1.725999951,8.255000114,0.123000003,0,2.194999933,0.021199999,10.55221939,0.109994501,0.216844901,0.068660803,10.33536911,0.068888001,6.044744492,0.349565804,-10.43683338,1.05E-05,0.0060338,0.0083631,-0.0024121,-0.0107752,star,gultekin09,186.6999969,3.5,0.00329,0.00002,0.068
NGC4258,NGC4258,1,184.7398529,47.30382156,7.269999981,0.503000021,7.577000141,0.029999999,0,2.059000015,0.037900001,10.89709568,0.082296699,0.638587773,0.0754354,10.25850964,0.031735402,4.084557056,0.337655008,8.527037621,0.067702502,0.0057281,0.019362699,0.016251501,-0.0031111,maser,herrnstein05,119.1999969,5.800000191,0.00154,0,0.032
NGC4261,NGC4261,1,184.8469238,5.824709892,32.36000061,2.835000038,8.722999573,0.097000003,0,2.424000025,0.021199999,11.60357761,0.089001097,0.859644771,0.117637902,10.74393177,0.062541798,5.511506557,0.518379629,-9.664488792,3.80E-06,0.0089242,0.0564746,0.0306269,-0.025847699,gas,ferrarese96,314,4.099999905,0.00726,0.00001,0.15
NGC4291,NGC4291,1,185.0737457,75.37096405,26.57999992,3.930999994,8.989999771,0.155000001,0,2.383300066,0.021600001,10.94503021,0.133773401,0.443175793,0.114109702,10.50185204,0.080075897,6.811953545,0.532234073,-9.837891579,0,0.0122521,0.040540501,0.0230127,-0.0175278,star,schulze11,-1234,-1234,0.00586,0.00008,0.122
NGC4342,NGC43420.00254,1,185.9125977,7.053936005,22.90999985,1.371999979,8.656000137,0.187999994,0,2.384000063,0.021199999,10.43977547,0.052795701,-0.237244904,0.055265501,10.67702007,0.044174299,8.64282608,3.588334799,-9.966124535,1.90E-06,0.0019451,0.0133075,-0.0125646,-0.025872201,star,cretton99,274.1000061,2.700000048,0.00254,0.0002,0.053
NGC4374,NGC4374,1,186.2657471,12.88696003,18.51000023,0.597000003,8.965999603,0.046,0,2.411999941,0.021199999,11.40366936,0.0306936,0.567157209,0.030794499,10.83651352,0.0167177,4.982989788,0.164049298,-10.15375996,7.70E-06,0.0008055,0.0036146,0.0024552,-0.0011594,gas,walsh10,-1234,-1234,0.00339,0.00002,0.071
NGC4388,NGC4388,1,186.4450836,12.66207027,16.53000069,1.600999951,6.863999844,0.043000001,0,2.029999971,0.029999999,10.71534061,0.083564602,0.754842222,0.079241402,9.960502625,0.0514489,5.236210346,0.462576598,8.707501411,0.050528899,0.0053076,0.029536201,0.014164,-0.0153722,maser,kuo11,105.6999969,9.800000191,0.00842,0,0.174
NGC4459,NGC4459,1,187.2501068,13.97858047,16.01000023,0.515999973,7.842999935,0.086000003,0,2.198999882,0.021199999,10.94287014,0.037578799,0.416006893,0.0557965,10.52686405,0.032616701,5.757625103,0.288420588,-10.28069687,9.60E-06,0.0017308,0.0140473,0.0068337,-0.0072136,gas,sarzi01,174.1000061,5.800000191,0.00398,0.00002,0.083
NGC4472,NGC4472,1,187.4449921,8.00041008,17.13999939,0.592000008,9.397999763,0.037,0,2.398000002,0.021199999,11.74989128,0.0704346,0.894752681,0.105550103,10.85513687,0.044794399,5.189882755,0.642237425,-10.21922398,1.15E-05,0.0070477,0.0645184,0.038622599,-0.025895899,star,rusli13,-1234,-1234,0.00327,0.00002,0.068
NGC4473,NGC4473,1,187.4536591,13.42932034,15.25,0.492000014,7.953999996,0.238999993,0,2.270999908,0.021199999,10.88927746,0.033126201,0.378430903,0.053348102,10.51084805,0.034817599,5.839307308,0.294135809,-10.32153225,2.90E-06,0.0013655,0.0121369,0.0047211,-0.0074158,star,schulze11,185.8999939,4,0.00749,0.00001,0.155
NGC4486,NGC4486,1,187.7059326,12.39109993,16.68000031,0.61500001,9.576000214,0.098099999,0,2.421999931,0.021199999,11.61412048,0.051065601,0.822361112,0.072287597,10.79176331,0.034924898,5.69214344,0.570206285,7.569194794,4.130260468,0.0033067,0.0372843,0.0200096,-0.0172747,gas,walsh13,-1234,-1234,0.00428,0.00002,0.089
NGC4486A,NGC4486A,1,187.7405396,12.27036095,16,0.515999973,7.099999905,0.147,0,2.09100008,0.021199999,10.07861614,0.046769399,-0.187414393,0.058770299,10.26603031,0.032673199,4.948865891,0.672986507,-10.27929592,3.80E-06,0.0022869,0.0241076,0.0175668,-0.0065409,star,nowak07,82.40000153,16.89999962,0.00253,0.00002,0.053
NGC4526,NGC4526,1,188.512619,7.699140072,16.44000053,1.786000013,8.654000282,0.123999998,0,2.319999933,0.021199999,11.22116661,0.087409802,0.54114902,0.0963457,10.68001842,0.069675602,5.634617329,0.599494219,-10.25555038,1.05E-05,0.0060341,0.0492438,0.017028799,-0.032214899,gas,davis13a,-1234,-1234,0.00206,0.00002,0.043
NGC4564,NGC4564,1,189.1124725,11.43931961,15.93999958,0.513999999,7.945000172,0.123999998,0,2.188999891,0.021199999,10.66899872,0.041628499,0.419939607,0.0581333,10.24905968,0.029433601,6.488511562,0.300131291,-10.28355503,1.05E-05,0.002123,0.0107095,0.0064126,-0.0042969,star,schulze11,174,3.400000095,0.00381,0.00001,0.079
NGC4594,NGC4594,1,189.9976501,-11.62300968,9.869999886,0.819000006,8.822999954,0.045000002,0,2.380199909,0.022700001,11.39311028,0.084107198,0.737141371,0.078048997,10.65596962,0.041201599,4.155604362,0.241611794,-10.70222664,1.05E-05,0.005734,0.0070297,0.0036851,-0.0033447,star,jardel11,-1234,-1234,0.00342,0.00002,0.071
NGC4596,NGC4596,1,189.9830627,10.17603111,16.53000069,6.229000092,7.885000229,0.25999999,0,2.098999977,0.021199999,10.97054291,0.260590911,0.701154828,0.155358598,10.26939011,0.136770397,5.271024704,0.317962289,-10.25078964,5.80E-06,0.0366689,0.018125599,0.0097817,-0.0083438,gas,sarzi01,-1234,-1234,0.00631,0.00002,0.131
NGC4649,NGC4649,1,190.9167023,11.5526104,16.45999908,0.606999993,9.673999786,0.098999999,0,2.427999973,0.021199999,11.66217995,0.055620901,0.896732688,0.097340301,10.76544285,0.051672999,5.753437996,0.491708785,-10.25483418,6.70E-06,0.0049494,0.045188099,0.023140799,-0.0220474,star,shen10,364.5,4,0.0037,0.00002,0.077
NGC4697,NGC4697,1,192.1496124,-5.800849915,12.53999996,0.404000014,8.305000305,0.112000003,0,2.229000092,0.021199999,11.08380127,0.048548799,0.637442589,0.068217203,10.44635868,0.031680599,4.901846409,0.2933321,-10.49206448,6.70E-06,0.0030035,0.0180838,0.0105757,-0.007508,star,schulze11,-1234,-1234,0.00414,0.00001,0.086
NGC4736,NGC4736,0,192.7214508,41.12015152,4.5,0.786000013,6.784999847,0.123000003,0,2.048599958,0.0233,10.66740417,0.157527,0.0032103,0.1210187,10.66419411,0.093935102,6.166413307,0.526311219,-1.671274781,9.860876083,0.0153182,0.047536399,0.0212759,-0.026260501,star,kormendy11,120.8000031,4.400000095,0.00103,0,0.021
NGC4751,NGC4751,1,193.2116699,-42.6599617,26.92000008,2.924999952,9.145999908,0.056000002,0,2.549700022,0.022,10.95205116,0.089810699,0.519544482,0.070811503,10.43250275,0.051889401,6.370010853,0.403234214,-9.834151268,1.34E-05,0.0051939,0.017323401,0.0080334,-0.00929,star,rusli13,-1234,-1234,0.00698,0.00015,0.145
NGC4826,NGC4826,0,194.1820679,21.68265915,5.199999809,1.177000046,6.046999931,0.130999997,0,1.981699944,0.022600001,10.7117157,0.187674105,0.376160711,0.115249597,10.33555412,0.0933806,4.705836296,0.414742798,-11.07855701,1.79275167,0.019892,0.0274489,0.017550001,-0.0098989,star,kormendy11,90.90000153,6,0.00136,0.00001,0.028
NGC4889,NGC4884,1,195.0337372,27.97702408,102,5.169000149,10.31999969,0.437000006,0,2.556299925,0.021299999,12.12768459,0.051418498,1.33935535,0.046446498,10.78833103,0.0299611,5.628843784,0.218116894,-8.655869484,3.80E-06,0.0019517,0.007928,0.0047689,-0.0031591,star,mcconnell11a,386.2000122,8.899999619,0.0215,0.00001,0.437
NGC5077,NGC5077,1,199.8817749,-12.65702343,38.70000076,8.442000389,8.93200016,0.268000007,0,2.345799923,0.021500001,11.26341343,0.156114101,0.519086719,0.080797501,10.7443285,0.081376702,5.139341354,0.296806306,-9.510741234,5.80E-06,0.0121388,0.0034282,0.0008944,-0.0025337,gas,de-francesco08,-1234,-1234,0.00936,0.00007,0.193
NGC5128,NGC5128,1,201.3672028,-43.01811981,3.619999886,0.200000003,7.755000114,0.083999999,0,2.175600052,0.020300001,11.03808689,0.055194698,0.410741299,0.061556701,10.62734509,0.0337607,4.911558628,0.351283908,-5.051332474,8.876050949,0.0028479,0.0109398,0.0066368,-0.0043031,star,cappellari09,-1234,-1234,0.00183,0.00002,0.038
NGC5328,NGC5328,1,208.2221375,-28.48927116,64.09999847,6.964000225,9.671999931,0.158000007,0,2.521899939,0.0222,11.70925522,0.092318296,0.944976628,0.055218901,10.76427746,0.0523143,5.967348099,0.257133812,-9.069701195,1.90E-06,0.0044175,0.005412,0.0001504,-0.0052616,star,rusli13,-1234,-1234,0.01581,0.00002,0.324
NGC5516,NGC5516,1,213.9778137,-48.11488342,58.43999863,6.348999977,9.519000053,0.057999998,0,2.484100103,0.037,11.83232784,0.091696098,1.297642946,0.090662397,10.53468609,0.062719598,6.33907938,0.180972695,-9.162781715,4.80E-06,0.006347,0.0103114,0.0039417,-0.0063697,star,rusli13,-1234,-1234,0.01375,0.00007,0.282
NGC5576,NGC5576,1,215.2653809,3.271049023,25.68000031,1.656999946,8.43599987,0.126000002,0,2.190999985,0.021199999,11.17947483,0.0608126,0.68770647,0.0663004,10.49176407,0.043921601,6.700919151,0.264087707,-9.867505074,6.70E-06,0.0030824,0.0081803,0.0039906,-0.0041897,star,gultekin09,193.3000031,3.5,0.00502,0.00002,0.104
